Group,PMID,Title,Abstract,Authors,Keywords,Publication Year,Journal Title,Publication Type,Grants,"query = ""('slow fall rotating vessel' or 'slow wall rotating vessel' or 'rotating wall vessel')"""
rotating_wall,9230602,Vaginal hysterectomy.,"The authors report on their experience of vaginal hysterectomy in a prospective series of 14 patients with myomatous uteri of the size of 14 to 20 weeks' gestation. The mean uterine volume at the time of surgery was that of 16 1/2 weeks' gestation. The largest myoma had a diameter of 11.6 cm. Five of the patients were also scheduled to undergo bilateral oophorectomy. The paracervical tissues were infiltrated with a dilute solution of lignocaine and adrenaline. Circumferential incision and reflection of the vaginal wall, dissection of the bladder cephalad, opening of the vesico-uterine fold anteriorly and the pouch of Douglas posteriorly were performed initially. This was followed by clamping, division and ligation of the sacro-uterine and cardinal ligaments and of the uterine vessels, as is done during a vaginal hysterectomy. The next step depended on the size and other features of the uterine corpus and included bisection, myomectomy, morcellation and coring. BISECTION: The cervix was grasped on both sides and the uterus was bisected sagittally towards the fundus, using a knife. The bisection, carried out first along the posterior uterine wall, was aided by the repeated repositioning of the vulsella close to the apex of the incision, combined with rotation of the cervical portion of the uterus around the public arch. If necessary, the uterus was rotated back to its original position and the bisection pursued anteriorly. Complete bisection often allowed half the uterus to be delivered through the vagina and the ovarian pedicle to be secured; the same was then done with the other half of the uterus. Myomectomy was frequently combined with bisection or morcellation. Smaller myomas were removed in one piece while larger ones were morcellated and removed in fragments, one of the vulsella always being attached to the residual bulk of the myoma. Morcellation was carried out on the uterus when despite bisection or myomectomy no further descent was possible. Bisection was recommenced as soon as further descent of the uterus could be achieved after myomectomy and morcellation. Coring was performed instead of bisection when dealing with smaller uteri without any distinct large myoma. A circumferential incision was made at the level of the uterine isthmus about 5 mm into the substance of the corpus. A central core of tissue around the uterine cavity was then excised by progressively undercutting the serosal surface of the uterus towards the fundus. Once the uterus was delivered into the vagina, the hysterectomy was completed in the usual fashion. All 14 procedures with or without oophorectomy or salpingo-oophorectomy were completed successfully. The mean weight of the uteri was 639 g (range 380-1100 g), the mean operating time was 84 minutes (range 30-150 minutes) and the mean operative blood loss was estimated at 296 ml (range 100-800 ml). One patient was given a blood transfusion immediately postoperatively. Six women had macroscopic haematuria that cleared up within 24 hours. There were no other important complications. Postoperative hospital stay averaged 3.7 days (range 2-9 days). Only 2 patients remained in hospital for more than 4 days after surgery. All women had recovered fully by the time of their follow up appointment.",Amy JJ,,1997,The National medical journal of India,Journal Article,,
rotating_wall,26826674,Scaffold-free Tissue Formation Under Real and Simulated Microgravity Conditions.,"Scaffold-free tissue formation in microgravity is a new method in regenerative medicine and an important topic in Space Medicine. In this MiniReview, we focus on recent findings in the field of tissue engineering that were observed by exposing cells to real microgravity in space or to devices simulating to at least some extent microgravity conditions on Earth (ground-based facilities). Under both conditions - real and simulated microgravity - a part of the cultured cells of various populations detaches from the bottom of a culture flask. The cells form three-dimensional (3D) aggregates resembling the organs from which the cells have been derived. As spaceflights are rare and extremely expensive, cell culture under simulated microgravity allows more comprehensive and frequent studies on the scaffold-free 3D tissue formation in some aspects, as a number of publications have proven during the last two decades. In this MiniReview, we summarize data from our own studies and work from various researchers about tissue engineering of multi-cellular spheroids formed by cancer cells, tube formation by endothelial cells and cartilage formation by exposing the cells to ground-based facilities such as the 3D Random Positioning Machine (RPM), the 2D Fast-Rotating Clinostat (FRC) or the Rotating Wall Vessel (RWV). Subsequently, we investigated self-organization of 3D aggregates without scaffolds pursuing to enhance the frequency of 3D formation and to enlarge the size of the organ-like aggregates. The density of the monolayer exposed to real or simulated microgravity as well as the composition of the culture media revealed an impact on the results. Genomic and proteomic alterations were induced by simulated microgravity. Under microgravity conditions, adherent cells expressed other genes than cells grown in spheroids. In this MiniReview, the recent improvements in scaffold-free tissue formation are summarized and relationships between phenotypic and molecular appearance are highlighted. Pharmacological Society).",Aleshcheva G; Bauer J; Hemmersbach R; Slumstrup L; Wehland M; Infanger M; Grimm D,,2016,Basic & clinical pharmacology & toxicology,Journal Article; Review,,
rotating_wall,34819344,Applications of the Columbus steerable guidewire.,"The Columbus steerable guidewire (Rapid Medical, Israel) is a 0.014 inch guidewire with a remotely controlled deflectable tip intended for neuronavigational purposes. 1 The tip can be shaped by pulling or pushing the handle. Pulling the handle decreases the radius (from 4 mm to 2 mm) and curves the tip, while pushing the handle increases the curvature radius and straightens the tip until it bends in the opposite direction. The amount of deflection is at the discretion of the operator. Video 1 The response of the Columbus guidewire to rotational movements is inferior to that of standard wires, and the tip is very soft and malleable but brings great support when bent. We present two cases where the Columbus guidewire was used. In the first case, the Columbus enabled us to probe a posterior cerebral artery arising from a giant basilar tip aneurysm without wall contact. In the second case, the Columbus was used as a secondary wire to help cannulate the pericallosal artery in a patient with a recurrent anterior complex aneurysm; this subsequently permitted successful stent-assisted coiling of the aneurysm. neurintsurg;14/10/1045/V1F1V1Video 1. commercial re-use. See rights and permissions. Published by BMJ.",von Hessling A; Reyes Del Castillo T; Lehmann L; Roos JE; Karwacki G,aneurysm; guidewire; navigation; thrombectomy,2022,Journal of neurointerventional surgery,Journal Article,,
rotating_wall,12391061,Saccharomyces cerevisiae gene expression changes during rotating wall vessel suspension culture.,"This study utilizes Saccharomyces cerevisiae to study genetic responses to suspension culture. The suspension culture system used in this study is the high-aspect-ratio vessel, one type of the rotating wall vessel, that provides a high rate of gas exchange necessary for rapidly dividing cells. Cells were grown in the high-aspect-ratio vessel, and DNA microarray and metabolic analyses were used to determine the resulting changes in yeast gene expression. A significant number of genes were found to be up- or downregulated by at least twofold as a result of rotational growth. By using Gibbs promoter alignment, clusters of genes were examined for promoter elements mediating these genetic changes. Candidate binding motifs similar to the Rap1p binding site and the stress-responsive element were identified in the promoter regions of differentially regulated genes. This study shows that, as in higher order organisms, S. cerevisiae changes gene expression in response to rotational culture and also provides clues for investigations into the signaling pathways involved in gravitational response.",Johanson K; Allen PL; Lewis F; Cubano LA; Hyman LE; Hammond TG,NASA Discipline Cell Biology; Non-NASA Center,2002,"Journal of applied physiology (Bethesda, Md. : 1985)","Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",,
rotating_wall,31062700,Intravascular lithotripsy for calcific coronary and peripheral artery stenoses.,"Heavily calcified lesions may be difficult to dilate adequately with conventional balloons and stents, which causes frequent periprocedural complications and higher rates of target lesion revascularisation (TLR). High-pressure non-compliant balloon angioplasty may be of insufficient force to modify calcium and, even when successful, may be limited in its ability to modify the entire calcified lesion. Scoring and cutting balloons hold theoretical value but data to support their efficacy are lacking and, because of their high lesion crossing profile, they often fail to reach the target lesion. Rotational and orbital atherectomy target superficial calcium; however, deep calcium, which may still impact on vessel expansion and luminal gain, is not affected. Intravascular lithotripsy (IVL), based on lithotripsy for renal calculi, is a new technology which uses sonic pressure waves to disrupt calcium with minimal impact to soft tissue. Energy is delivered via a balloon catheter, analogous to contemporary balloon catheters, with transmission through diluted ionic contrast in a semi-compliant balloon inflated at low pressure with sufficient diameter to achieve contact with the vessel wall. With coronary and peripheral balloons approved in Europe, peripheral balloons approved in the USA and multiple new trials beginning, we review the indications for these recently introduced devices, summarise the clinical outcomes of the available trials and describe the design of ongoing studies.",Dini CS; Tomberli B; Mattesini A; Ristalli F; Valente S; Stolcova M; Meucci F; Baldereschi G; Fanelli F; Shlofmitz RA; Ali ZA; Di Mario C,,2019,EuroIntervention : journal of EuroPCR in collaboration with the Working Group on,Journal Article; Review,,
rotating_wall,11543416,Dynamics of a microcarrier particle in the simulated microgravity environment of a rotating-wall vessel.,"Rotating-wall vessel (RWV), a low-shear, low turbulence microcarrier culture system provides a simulated microgravity environment suitable for 3-dimensional tissue culture. In this paper, the motion of a microcarrier particle in the rotating fluid has been analytically/numerically studied. If the microcarrier is less dense than the surrounding liquid medium, it eventually migrates towards an equilibrium state in the fluid. This state corresponds to a stationary location in the inertial frame of reference or equivalently, a circular orbit about the rotational axis in a rotating frame. If the particle is denser, it may move away indefinitely to reach or collide with the outer wall of the rotating vessel (outer boundary of the rotating fluid). Such a collision may damage the cells and could be undesirable for tissue culture. We have calculated migration times for a denser microcarrier to reach the outer wall of the vessel. Several factors--rotational speed, fluid viscosity, density difference between that of the microcarrier and the fluid, microcarrier radius, and the initial position of the microcarrier--were found to affect this migration time. We have also evaluated the variation of the fluid shear stress on the microcarrier surface. Decreasing the density difference between the microcarrier and the fluid, and decreasing the size of the microcarrier, can both decrease the maximum shear stress. The results for a solid, a hollow, and a hollow-porous microcarrier show that with a denser microcarrier material, the hollow or hollow-porous spherical microcarriers are preferable in order to increase the suspension time and decrease the maximum shear stress. The results of this study are thought to be useful for the development of optimal conditions for cell growth and metabolism in RWVs.",Gao H; Ayyaswamy PS; Ducheyne P,,1997,Microgravity science and technology,"Comparative Study; Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",,
rotating_wall,356562,Platelet adherence to the vessel wall and to collagen-coated surfaces.,,Cazenave JP; Packham MA; Kinlough-Rathbone RL; Mustard JF,,1978,Advances in experimental medicine and biology,Journal Article; Review,,
rotating_wall,8424108,Rotating-wall vessel coculture of small intestine as a prelude to tissue modeling: aspects of simulated microgravity.,"A new low shear stress, low turbulence microcarrier culture system has been developed at NASA's Johnson Space Center that permits large-scale three-dimensional tissue culture. Tissue culture bioreactors called rotating-wall vessels were used in conjunction with multicellular cocultivation to develop a unique in vitro tissue-modeling system. Normal small intestine epithelium and mesenchymal cells were cocultivated on Cytodex-3 microcarriers and were initiated in two phases. Normal small intestine mesenchymal cells were inoculated into the rotating-wall vessel at 2 x 10(5) cells/ml and allowed to attach and proliferate for 2 to 3 days. Normal small intestine epithelium was then added at an innoculum of 2 x 10(5) cells/ml and cultivation continued for 30 to 40 days. These cocultures attained cell numbers of 4-6 x 10(6) cells/ml and differentiated to form tissue-like masses of 0.4-0.5 cm with minimal necrosis. The masses displayed apical brush borders, differentiated epithelial cells, cellular polarity, extracellular matrix, and basal lamina. Verification of mesenchymal and epithelial cell expression was determined by immunocytochemistry and scanning electron microscopy. These data suggest that the rotating-wall vessel affords a new tissue culture model for investigation of growth, regulatory, and differentiation processes within normal tissues.",Goodwin TJ; Schroeder WF; Wolf DA; Moyer MP,,1993,Proceedings of the Society for Experimental Biology and Medicine. Society for,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",,
rotating_wall,33772062,Noninvasive thrombectomy of graft by nano-magnetic ablating particles.,"Artificial vascular treatment is an emerging interdisciplinary subject of medicine. Although the use of artificial vessels has led to many successful advancements, blood clotting remains a major challenge, especially in terms of mural clots created along the vessel wall that do not completely block the vessel. The main objective of this study is to present a method for declotting artificial vessels. This research introduces a novel thrombectomy technique in artificial vessels by employing nano-magnetic particles under a rotating magnetic field to remove mural clots in artificial vessels. A mathematical model describes the relationship between process parameters. In vitro tests confirm the feasibility of nano-magnetic thrombectomy in cleaning and declotting artificial vessels. The results show that the clot fragments are nano-sized, which eliminates the risk of distal emboli as a concern of using current atherectomy techniques. Meanwhile, no damage to the artificial vessels is observed. The results show that the frequency of rotating the magnetic field has the greatest effect on clot removal. The conceptual principles stated in this study also have the potential to be used in other vascular depositions, such as the accumulation of lipids, and calcification atherosclerosis.",Moghanizadeh A; Ashrafizadeh F; Varshosaz J; Kharaziha M; Ferreira A,,2021,Scientific reports,"Journal Article; Research Support, Non-U.S. Gov't; Retracted Publication",,
rotating_wall,364949,Drug effects on platelet adherence to collagen and damaged vessel walls.,"The interaction of platelets with damaged vessel walls leads to the formation of platelet-fibrin thrombi and may also contribute to the development of atherosclerotic lesions because platelets adherent to exposed collagen release a mitogen that stimulates smooth muscle cell proliferation. The first step in thrombus formation, platelet adherence to an injured vessel wall, can be studied quantitatively by the use of platelets labeled with 51chromium. In these investigations, rabbit aortas were damaged by passage of a balloon catheter and segments of the aortas were everted on probes that were rotated in platelet suspensions. Collagen-coated glass cylinders were also used. Adherence was measured in a medium containing approximately physiologic concentrations of calcium, magnesium, protein and red blood cells. Conditions of testing influence the effect of non-steroidal anti-inflammatory drugs, sulfinpyrazone, and dipyridamole on platelet adherence. Aspirin and sulfinpyrazone were not inhibitory when tested in a medium with a 40% hematocrit; this indicates that products formed by platelets from arachidonate probably do not play a major part in the adherence of the first layer of platelets to the surface, although they may be involved in thrombus formation. Indomethacin, dipyridamole, prostaglandin E1, methylprednisolone and penicillin G and related antibiotics did inhibit platelet adherence although the concentrations required were higher than would likely be achieved in vivo upon administration to human patients. None of the non-steroidal anti-inflammatory drugs inhibited the release of granule contents from adherent platelets. Pretreatment of the damaged vessel wall with aspirin increased platelet adherence, presumably because it prevented the formation of PGI2 by the vessel wall. Platelet adherence to undamaged or damaged vessel walls was enhanced by prior exposure of the wall to thrombin. Platelet reactions with aggregating agents and platelet survival can be modified by changes in dietary lipids but there is very little evidence concerning the effects of lipids on platelet adherence. If some forms of dietary fat damage the endothelium, platelet interaction with the damaged area and release of the mitogen for smooth muscle cells would contribute to the development of atherosclerotic lesions.",Packham MA; Cazenave JP; Kinlough-Rathbone RL; Mustard JF,,1978,Advances in experimental medicine and biology,Journal Article; Review,,
