Group,PMID,Title,Abstract,Authors,Keywords,Publication Year,Journal Title,Publication Type,
2D,24926614,Early exposure of murine embryonic stem cells to hematopoietic cytokines differentially directs definitive erythropoiesis and cardiomyogenesis in alginate hydrogel three-dimensional cultures.,"HepG2-conditioned medium (CM) facilitates early differentiation of murine embryonic stem cells (mESCs) into hematopoietic cells in two-dimensional cultures through formation of embryoid-like colonies (ELCs), bypassing embryoid body (EB) formation. We now demonstrate that three-dimensional (3D) cultures of alginate-encapsulated mESCs cultured in a rotating wall vessel bioreactor can be differentially driven toward definitive erythropoiesis and cardiomyogenesis in the absence of ELC formation. Three groups were evaluated: mESCs in maintenance medium with leukemia inhibitory factor (LIF, control) and mESCs cultured with HepG2 CM (CM1 and CM2). Control and CM1 groups were cultivated for 8 days in early differentiation medium with murine stem cell factor (mSCF) followed by 10 days in hematopoietic differentiation medium (HDM) containing human erythropoietin, m-interleukin (mIL)-3, and mSCF. CM2 cells were cultured for 18 days in HDM, bypassing early differentiation. In CM1, a fivefold expansion of hematopoietic colonies was observed at day 14, with enhancement of erythroid progenitors, hematopoietic genes (Gata-2 and SCL), erythroid genes (EKLF and β-major globin), and proteins (Gata-1 and β-globin), although ζ-globin was not expressed. In contrast, CM2 primarily produced beating colonies in standard hematopoietic colony assay and expressed early cardiomyogenic markers, anti-sarcomeric α-actinin and Gata-4. In conclusion, a scalable, automatable, integrated, 3D bioprocess for the differentiation of mESC toward definitive erythroblasts has been established. Interestingly, cardiomyogenesis was also directed in a specific protocol with HepG2 CM and hematopoietic cytokines making this platform a useful tool for the study of erythroid and cardiomyogenic development.",Fauzi I; Panoskaltsis N; Mantalaris A,,2014,Stem cells and development,"Journal Article; Research Support, Non-U.S. Gov't",
2D,23053434,Microbial products alter the expression of membrane-associated mucin and antimicrobial peptides in a three-dimensional human endocervical epithelial cell model.,"Our understanding of the mechanisms that regulate tissue-specific mucosal defense can be limited by the lack of appropriate human in vitro models. The endocervix lies between the microbe-rich vaginal cavity and the relatively sterile endometrium and is a major portal of entry for Chlamydia trachomatis, Neisseria gonorrhoeae, Mycoplasma genitalium, human immunodeficiency virus (HIV), and herpes simplex virus (HSV) infection in women. The endocervix is lined with a simple epithelium, and these cells produce mucus, which plays a key role in immune defense and reproduction. Here we describe the development of a human three-dimensional endocervical epithelial cell model generated by rotating wall vessel bioreactor technology. The model is composed of cellular aggregates that recapitulate major structural and barrier properties essential for the function and protection of the endocervix, including junctional complexes, microvilli, innate immune receptors, antimicrobial peptides, and mucins, the major structural component of mucus. Using this model, we also report, for the first time, that the membrane-associated mucin genes MUC1, MUC4, and MUC16 are differentially regulated in these aggregates by different bacterial and viral products. Differential induction of antimicrobial peptides was also observed with these products. Together these data define unique and flexible innate endocervical immune signatures that follow exposure to microbial products and that likely play a critical role in the outcome of pathogen challenge at this site.",Radtke AL; Quayle AJ; Herbst-Kralovetz MM,,2012,Biology of reproduction,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",R21 AI095859/AI/NIAID NIH HHS/United States; AI095859/AI/NIAID NIH HHS/United States
2D,20073305,[Repairing postoperative soft tissue defects of tibia and ankle open fractures with muscle flap pedicled with medial half of soleus].,"OBJECTIVE: To investigate the therapeutic effect of repairing postoperative soft tissue defects of tibia and ankle open fractures with muscle flap pedicled with medial half of soleus. METHODS: From February 1998 to January 2009, 15 male patients with postoperative soft tissue defects of internal fixation for tibia and ankle open fractures were treated. Their age was 18-54 years old (average 32 years old). The injury was caused by traffic accident in 13 cases and hit of heavy objects in 2 cases. The injury was in the left side in 9 cases and the right side in 6 cases. The soft tissue was necrotic and combined with purulent secretion. All patients presented with exposure of bone and steel plate. The soft tissue defect was located on the upper-segment of tibia in 2 cases, the middle and lower-segments of tibia in 9 cases, and the ankle in 4 cases. The size of the defect was 5 cm x 4 cm-13 cm x 6 cm. The time from the internal fixation to the operation was 3-6 months (average 4 months). The method of anterograde transposition of muscle flap pedicled with medial half of soleus was used to repair the defects in 2 cases, and the method of retrograde transposition was applied to repair the defects in 13 cases. The muscle flap harvested during operation was 5 cm x 4cm-13 cm x 5 cm in size. The muscle flap was covered with split thickness skin graft (2.5 cm x 1.5 cm-10.0 cm x 5.0 cm) of femoribus internus in 14 cases, and island flap with nutritional vessel pedicle of sural nerve (7 cm x 6 cm) in 1 case. RESULTS: One case had skin graft necrosis 5 days after operation and healed after re-debridement, vacuum sealing drainage, and dermatoplasty. For the rest 14 patients, the incision all healed by first intention, and the skin graft, skin flaps, and muscle flaps were all survived. All wounds of the donor sites healed by first intention. Thirteen patients were followed up for 6 months to 8 years (average 3 years). The grafted skin presented with good wearability and without ulceration and overstaffed appearance. At the final follow-up, the activity range of ankle was 5-10 degrees in extension and 10-15 degrees in flexion, and the gait was abnormal. CONCLUSION: Muscle flap pedicled with medial half of soleus transposition is easy to be operated with a big rotating arc, can fill the narrow cavity and repair the soft tissue defect simultaneously, and provide flat and non-bloated postoperative incision with minor donor-site injury. It is one of the effective methods of repairing the postoperative soft tissue defect after internal fixation of tibia and ankle open fractures.",Cheng C; Li X; Abudu S,,2009,Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi =,Evaluation Study; Journal Article,
2D,29156538,Combined Effects of Simulated Microgravity and Radiation Exposure on Osteoclast Cell Fusion.,"The loss of bone mass and alteration in bone physiology during space flight are one of the major health risks for astronauts. Although the lack of weight bearing in microgravity is considered a risk factor for bone loss and possible osteoporosis, organisms living in space are also exposed to cosmic radiation and other environmental stress factors. As such, it is still unclear as to whether and by how much radiation exposure contributes to bone loss during space travel, and whether the effects of microgravity and radiation exposure are additive or synergistic. Bone is continuously renewed through the resorption of old bone by osteoclast cells and the formation of new bone by osteoblast cells. In this study, we investigated the combined effects of microgravity and radiation by evaluating the maturation of a hematopoietic cell line to mature osteoclasts. RAW 264.7 monocyte/macrophage cells were cultured in rotating wall vessels that simulate microgravity on the ground. Cells under static 1g or simulated microgravity were exposed to γ rays of varying doses, and then cultured in receptor activator of nuclear factor-κB ligand (RANKL) for the formation of osteoclast giant multinucleated cells (GMCs) and for gene expression analysis. Results of the study showed that radiation alone at doses as low as 0.1 Gy may stimulate osteoclast cell fusion as assessed by GMCs and the expression of signature genes such as tartrate resistant acid phosphatase (Trap) and dendritic cell-specific transmembrane protein (Dcstamp). However, osteoclast cell fusion decreased for doses greater than 0.5 Gy. In comparison to radiation exposure, simulated microgravity induced higher levels of cell fusion, and the effects of these two environmental factors appeared additive. Interestingly, the microgravity effect on osteoclast stimulatory transmembrane protein (Ocstamp) and Dcstamp expressions was significantly higher than the radiation effect, suggesting that radiation may not increase the synthesis of adhesion molecules as much as microgravity.",Shanmugarajan S; Zhang Y; Moreno-Villanueva M; Clanton R; Rohde LH; Ramesh GT; Sibonga JD; Wu H,microgravity; osteoclast; radiation,2017,International journal of molecular sciences,Journal Article,
2D,17201921,Yeast genomic expression patterns in response to low-shear modeled microgravity.,"The low-shear microgravity environment, modeled by rotating suspension culture bioreactors called high aspect ratio vessels (HARVs), allows investigation in ground-based studies of the effects of microgravity on eukaryotic cells and provides insights into the impact of space flight on cellular physiology. We have previously demonstrated that low-shear modeled microgravity (LSMMG) causes significant phenotypic changes of a select group of Saccharomyces cerevisiae genes associated with the establishment of cell polarity, bipolar budding, and cell separation. However, the mechanisms cells utilize to sense and respond to microgravity and the fundamental gene expression changes that occur are largely unknown. In this study, we examined the global transcriptional response of yeast cells grown under LSMMG conditions using DNA microarray analysis in order to determine if exposure to LSMMG results in changes in gene expression. RESULTS: LSMMG differentially changed the expression of a significant number of genes (1372) when yeast cells were cultured for either five generations or twenty-five generations in HARVs, as compared to cells grown under identical conditions in normal gravity. We identified genes in cell wall integrity signaling pathways containing MAP kinase cascades that may provide clues to novel physiological responses of eukaryotic cells to the external stress of a low-shear modeled microgravity environment. A comparison of the microgravity response to other environmental stress response (ESR) genes showed that 26% of the genes that respond significantly to LSMMG are involved in a general environmental stress response, while 74% of the genes may represent a unique transcriptional response to microgravity. In addition, we found changes in genes involved in budding, cell polarity establishment, and cell separation that validate our hypothesis that phenotypic changes observed in cells grown in microgravity are reflected in genome-wide changes. This study documents a considerable response to yeast cell growth in low-shear modeled microgravity that is evident, at least in part, by changes in gene expression. Notably, we identified genes that are involved in cell signaling pathways that allow cells to detect environmental changes, to respond within the cell, and to change accordingly, as well as genes of unknown function that may have a unique transcriptional response to microgravity. We also uncovered significant changes in the expression of many genes involved in cell polarization and bud formation that correlate well with the phenotypic effects observed in yeast cells when grown under similar conditions. These results are noteworthy as they have implications for human space flight.",Sheehan KB; McInnerney K; Purevdorj-Gage B; Altenburg SD; Hyman LE,,2007,BMC genomics,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",
2D,21169425,Transcriptional and proteomic responses of Pseudomonas aeruginosa PAO1 to spaceflight conditions involve Hfq regulation and reveal a role for oxygen.,"Assessing bacterial behavior in microgravity is important for risk assessment and prevention of infectious diseases during spaceflight missions. Furthermore, this research field allows the unveiling of novel connections between low-fluid-shear regions encountered by pathogens during their natural infection process and bacterial virulence. This study is the first to characterize the spaceflight-induced global transcriptional and proteomic responses of Pseudomonas aeruginosa, an opportunistic pathogen that is present in the space habitat. P. aeruginosa responded to spaceflight conditions through differential regulation of 167 genes and 28 proteins, with Hfq as a global transcriptional regulator. Since Hfq was also differentially regulated in spaceflight-grown Salmonella enterica serovar Typhimurium, Hfq represents the first spaceflight-induced regulator acting across bacterial species. The major P. aeruginosa virulence-related genes induced in spaceflight were the lecA and lecB lectin genes and the gene for rhamnosyltransferase (rhlA), which is involved in rhamnolipid production. The transcriptional response of spaceflight-grown P. aeruginosa was compared with our previous data for this organism grown in microgravity analogue conditions using the rotating wall vessel (RWV) bioreactor. Interesting similarities were observed, including, among others, similarities with regard to Hfq regulation and oxygen metabolism. While RWV-grown P. aeruginosa mainly induced genes involved in microaerophilic metabolism, P. aeruginosa cultured in spaceflight presumably adopted an anaerobic mode of growth, in which denitrification was most prominent. Whether the observed changes in pathogenesis-related gene expression in response to spaceflight culture could lead to an alteration of virulence in P. aeruginosa remains to be determined and will be important for infectious disease risk assessment and prevention, both during spaceflight missions and for the general public.",Crabbé A; Schurr MJ; Monsieurs P; Morici L; Schurr J; Wilson JW; Ott CM; Tsaprailis G; Pierson DL; Stefanyshyn-Piper H; Nickerson CA,,2011,Applied and environmental microbiology,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",P30 CA023074/CA/NCI NIH HHS/United States; P30 ES006694/ES/NIEHS NIH HHS/United States; ES06694/ES/NIEHS NIH HHS/United States; CA023074/CA/NCI NIH HHS/United States
2D,30580939,Production of recycled manure solids for use as bedding in Canadian dairy farms: II. Composting methods.,"Recent technological advances in the dairy industry have enabled Canadian farms with liquid manure systems to use mechanical solid-liquid separation paired with composting of the separated solids for on-farm production of low-cost bedding material. However, because several approaches are available, it is difficult for farmers to select the appropriate one to achieve high quality recycled manure solids (RMS). Whereas 3 solid-liquid manure separators were compared in part I of the series (companion paper in this issue), the present study (part II) aims to assess the performance of 4 composting methods (static or turned windrow and drum composter for 24 or 72 h) under laboratory conditions. Parameters evaluated included temperature, physico-chemical characteristics, and bacterial composition of RMS, as well as airborne microorganisms, dust, and gases associated with composting RMS. Because each treatment attained the desired composting temperature range of 40 to 65°C (either in heaps or in the drum composter), reductions in bacteria were a better indicator of the sanitation efficiency. The treatment of fresh RMS in a drum composter for 24 h showed decreased bacterial counts, especially for Escherichia coli (from 1.0 × 10(5) to 2.0 × 10(1) cfu/g of dry matter) and Klebsiella spp. (from 3.2 × 10(4) to 4.0 × 10(2) cfu/g of dry matter). Increasing the time spent in the rotating vessel to 72 h did not result in further decreases of these pathogens. Composting in a static or turned windrow achieved similar E. coli and Klebsiella spp. reductions as the 24-h drum composting but in 5 or 10 d, and generally showed the lowest occupational exposure risk for dairy farmers regarding concentrations of airborne mesophilic bacteria, mesophilic and thermotolerant fungi, and total dust. Drum-composted RMS stored in piles exhibited intermediate to high risk. Composting approaches did not have a major influence on the physico-chemical characteristics of RMS and gas emissions. Drum composting for 24 h was the best compromise in terms of product quality, temperature reached, decreased bacterial numbers, and emitted airborne contaminants. However, because levels of pathogenic agents rapidly increase once composted RMS are spread in stalls, bacteriological characteristics of RMS along with milk quality and animal health and welfare features should be monitored in Canadian dairy barns applying recommended separation (part I) and composting (part II) systems to evaluate health risk and optimize management practices.",Fournel S; Godbout S; Ruel P; Fortin A; Duquette-Lozeau K; Létourneau V; Généreux M; Lemieux J; Potvin D; Côté C; Duchaine C; Pellerin D,air quality; bacterial counts; cattle; compost characteristics,2019,Journal of dairy science,Evaluation Study; Journal Article,
2D,30478297,Three-dimensional in vitro modeling of malignant bone disease recapitulates experimentally accessible mechanisms of osteoinhibition.,"Malignant bone disease (MBD) occurs when tumors establish in bone, causing catastrophic tissue damage as a result of accelerated bone destruction and inhibition of repair. The resultant so-called osteolytic lesions (OL) take the form of tumor-filled cavities in bone that cause pain, fractures, and associated morbidity. Furthermore, the OL microenvironment can support survival of tumor cells and resistance to chemotherapy. Therefore, a deeper understanding of OL formation and MBD progression is imperative for the development of future therapeutic strategies. Herein, we describe a novel in vitro platform to study bone-tumor interactions based on three-dimensional co-culture of osteogenically enhanced human mesenchymal stem cells (OEhMSCs) in a rotating wall vessel bioreactor (RWV) while attached to micro-carrier beads coated with extracellular matrix (ECM) composed of factors found in anabolic bone tissue. Osteoinhibition was recapitulated in this model by co-culturing the OEhMSCs with a bone-tumor cell line (MOSJ-Dkk1) that secretes the canonical Wnt (cWnt) inhibitor Dkk-1, a tumor-borne osteoinhibitory factor widely associated with several forms of MBD, or intact tumor fragments from Dkk-1 positive patient-derived xenografts (PDX). Using the model, we observed that depending on the conditions of growth, tumor cells can biochemically inhibit osteogenesis by disrupting cWnt activity in OEhMSCs, while simultaneously co-engrafting with OEhMSCs, displacing them from the niche, perturbing their activity, and promoting cell death. In the absence of detectable co-engraftment with OEhMSCs, Dkk-1 positive PDX fragments had the capacity to enhance OEhMSC proliferation while inhibiting their osteogenic differentiation. The model described has the capacity to provide new and quantifiable insights into the multiple pathological mechanisms of MBD that are not readily measured using monolayer culture or animal models.",McNeill EP; Reese RW; Tondon A; Clough BH; Pan S; Froese J; Palmer D; Krause U; Loeb DM; Kaunas R; Gregory CA,,2018,Cell death & disease,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",R01 AR066033/AR/NIAMS NIH HHS/United States
2D,27826116,Safety and Efficacy of Advanced Bipolar Vessel Sealing in Vaginal Hysterectomy: 1000 Cases.,"STUDY OBJECTIVE: To determine the safety and efficacy of advanced electrothermal bipolar vessel sealing (EBVS) during vaginal hysterectomy by evaluating urinary complications, overall complications, and reoperation rate. DESIGN: A retrospective cohort (Canadian Task Force classification III). SETTING: High-volume gynecologic surgeon practice, private hospital. PATIENTS: One thousand consecutive patients who have undergone vaginal hysterectomy for benign conditions carried out with EBVS between January 2002 and December 2012. INTERVENTIONS: Vaginal hysterectomy performed using an EBVS device. MEASUREMENTS AND MAIN RESULTS: One thousand consecutive patients underwent vaginal hysterectomy with advanced EBVS between January 2002 and December 2012 with an average age of 51.4 ± 8.9 years (range, 31-88) and mean weight and body mass index of 57.4 ± 7.2 kg (range, 42-105) and 25.8 ± 4.2 kg/m(2) (range, 19.1-38.9), respectively. Eighty-five percent of patients (852/1000) were healthy without any severe systemic disease. A single experienced surgeon performed all vaginal hysterectomies with EBVS, specifically by not applying traction during thermofusion to avoid hemorrhage, amputating the cervix to transform the uterus to an apple shape to facilitate a vaginal approach and rotation of the uterus, and placing bi-clamp forceps on the edge of the uterus and not at a 45- or 90-degree angle. Wound closure was completed with a continuous suture. Eleven urinary complications (1.1%) were recorded (10 bladder mechanical injuries and 1 vesicovaginal fistula). This was not statistically different from the rate of .64% previously reported in the FINHYST study (p = .15). The overall rate of complications was 5.3%, and 20 patients (2.0%) required reoperation. The presence of uterine scar tissue (odds ratio, 5.5; 95% confidence interval, 1.6-19.2) and larger uterus size (odds ratio, 2.5; 95% confidence interval, 1.01-19.2) were associated with a higher risk of urinary complications. CONCLUSION: The use of EBVS during vaginal hysterectomy results in urinary and overall complication rates of 1.1% and 5.3%, respectively, statistically similar to previously reported series that did not use EBVS. The use of advanced EBVS is a safe and effective method of achieving hemostasis during vaginal hysterectomy.",Clavé H; Clavé A,Complication; Hemostasis; Minimally invasive surgery; Reoperation; Vaginal route,2017,Journal of minimally invasive gynecology,Journal Article,
2D,33851549,Radiation Awareness for Endovascular Abdominal Aortic Aneurysm Repair in the Hybrid Operating Room: An Instant Operator Risk Chart for Daily Practice.,"INTRODUCTION: While the operator radiation dose rates are correlated to patient radiation dose rates, discrepancies may exist in the effect size of each individual radiation dose predictors. An operator dose rate prediction model was developed, compared with the patient dose rate prediction model, and converted to an instant operator risk chart. MATERIALS AND METHODS: The radiation dose rates (DR(operator) for the operator and DR(patient) for the patient) from 12,865 abdomen X-ray acquisitions were selected from 50 unique patients undergoing standard or complex endovascular aortic repair (EVAR) in the hybrid operating room with a fixed C-arm. The radiation dose rates were analyzed using a log-linear multivariable mixed model (with the patient as the random effect) and incorporated varying (patient and C-arm) radiation dose predictors combined with the vascular access site. The operator dose rate models were used to predict the expected radiation exposure duration until an operator may be at risk to reach the 20 mSv year dose limit. The dose rate prediction models were translated into an instant operator radiation risk chart. RESULTS: In the multivariate patient and operator fluoroscopy dose rate models, lower DR(operator) than DR(patient) effect size was found for radiation protocol (2.06 for patient vs 1.4 for operator changing from low to medium protocol) and C-arm angulation. Comparable effect sizes for both DR(operator) and DR(patient) were found for body mass index (1.25 for patient and 1.27 for the operator) and irradiated field. A higher effect size for the DR(operator) than DR(patient) was found for C-arm rotation (1.24 for the patient vs 1.69 for the operator) and exchanging from femoral access site to brachial access (1.05 for patient vs 2.5 for the operator). Operators may reach their yearly 20 mSv year dose limit after 941 minutes from the femoral access vs 358 minutes of digital subtraction angiography radiation from the brachial access. CONCLUSION: The operator dose rates were correlated to patient dose rate; however, C-arm angulation and changing from femoral to brachial vascular access site may disproportionally increase the operator radiation risk compared with the patient radiation risk. An instant risk chart may improve operator dose awareness during EVAR.",de Ruiter QMB; Moll FL; Hazenberg CEVB; van Herwaarden JA,brachial access; endovascular aneurysm repair; femoral access; fluoroscopy; radiation dose/exposure,2021,Journal of endovascular therapy : an official journal of the International,"Journal Article; Research Support, Non-U.S. Gov't",
2D,37467054,An Algorithmic Approach to Dual-System Venous Drainage for DIEP Flap Breast Reconstruction.,"BACKGROUND: Few studies compared the use of the deep venous system alone versus combined superficial and deep venous drainage in DIEP flaps. The objective of this study is to compare DIEP flap breast reconstruction using either the deep venous system alone versus dual-system venous drainage and to propose an algorithm for flap design and orientation and veins selection to facilitate consistent use of dual-system venous drainage. METHODS: Patients undergoing DIEP flap breast reconstruction between March 2017 and April 2021 were retrospectively reviewed. Flaps were divided into two groups: deep venous system only (Group 1) or dual-system (Group 2). Outcomes included takeback to the operating room (OR), flap loss and thrombosis and operative time. RESULTS: A total of 244 DIEP flaps in 162 patients met inclusion criteria. A total of 130 flaps were included in Group 1 (53.3%) and 114 flaps were included in Group 2 (46.7%). Sixteen flaps (6.6%) required immediate takeback to the OR and takeback rates were not significantly different between groups (p=0.606). Flap loss rate was significantly higher in Group 1: 2.5% vs Group 2: 0%; p=0.031. Flap thrombosis occurred in 8 flaps (3.3%) and tended to occur more frequently in Group 1 but this finding did not reach significance (Group 1: 5.4% vs Group 2: 0.9%; p=0.071). CONCLUSIONS: The use of dual-system venous drainage in DIEP flap breast reconstruction decreases the rate of flap loss. Our algorithm can be used to guide selection of flap laterality, rotation, and veins and recipient vessels to facilitate routine use of dual-system venous drainage.",Jabbour S; Youn R; Kim KG; Tirrell AR; Harbour PW; Dekker PK; Fan KL; Song DH,,2023,Plastic and reconstructive surgery,Journal Article,
2D,19346190,Prenatal detection of bladder wall involvement in invasive placentation with sequential two-dimensional and adjunctive three-dimensional ultrasonography.,"OBJECTIVE: The purpose of this study was to determine the diagnostic capability of sequential two-dimensional (2D) and adjunctive three-dimensional (3D) ultrasonography (US) in identifying the location and extent of placental invasion of the bladder. MATERIALS AND METHODS: Forty-five patients at risk of placenta previa were examined sequentially with 2D US and then with a targeted scan of the region of interest with adjunctive 3D US to determine whether those patients suspected of having advanced invasive placentation by conventional ultrasonographic evidence had placental invasion of the bladder. The images were coded as positive, negative or indeterminate (equivocal) for bladder invasion. Follow-up postoperative outcomes were obtained. RESULTS: Seven of the 45 patients exhibited characteristic ultrasonographic findings for placenta increta/percreta. Among these seven patients with advanced invasive placentation, a targeted scan with adjunctive 3D US correctly provided additional corroborative information to the 2D US indeterminate diagnosis in patients who were found with variable degrees of bladder wall involvement at surgery. CONCLUSION: 3D US may be a useful adjunctive tool in refining 2D ultrasonographic techniques to identify the extent and degree of placental invasion of the bladder. The advantages of 3D US are: (1) a multiplanar image display allows viewing of sections from sagittal, coronal and axial planes at the same time, thereby more accurately determining the location and extent of placental invasion; (2) the viewing planes of the spatial angioarchitecture network can be arbitrarily manipulated to better delineate the aberrant vessels protruding into the bladder; (3) 3D reconstruction images can be clearly displayed by live 3D in a rotation mode for a better illustrative effect.",Chou MM; Chen WC; Tseng JJ; Chen YF; Yeh TT; Ho ES,,2009,Taiwanese journal of obstetrics & gynecology,"Journal Article; Research Support, Non-U.S. Gov't",
2D,16904548,Detection of transplant coronary artery disease using multidetector computed tomography with adaptative multisegment reconstruction.,"OBJECTIVES: This study sought to determine whether multidetector computed tomography (MDCT) may be able to detect occlusive coronary disease in transplanted hearts. BACKGROUND: In heart transplant recipients, asymptomatic coronary disease requiring frequent surveillance commonly develops. Recent advancements in MDCT allow for noninvasive assessment of the coronary vessels. METHODS: Electrocardiogram-gated contrast-enhanced MDCT scans (16 x 0.75-mm detectors, 420 ms rotation, 100 ml contrast) with multisegment reconstruction were performed on 54 transplant recipients within 6 +/- 11 days of quantitative coronary angiography (QCA). Heart rate at the time of the scan was 90 +/- 11 beats/min. Coronary arterial segments >1.5 mm in diameter were analyzed by independent investigators. RESULTS: There was a good correlation between MDCT and QCA percent stenosis (r = 0.75, p < 0.01, SEE = 15%). Of the 791 segments identified by QCA, 754 (95%) were analyzable by MDCT. The sensitivity, specificity, and positive and negative predictive values of MDCT compared with QCA for the detection of segments with significant (>50%) stenosis were 86%, 99%, 81%, and 99%, respectively. The MDCT correctly identified 15 of the 16 (94%) transplant patients classified by QCA as having occlusive coronary artery disease and 29 of the 37 patients without significant stenosis (78%). In 1 patient who received intravenous beta-blockers, transient bradycardia requiring temporary pacing developed, but there were no other complications. CONCLUSIONS: Detection of occlusive coronary disease in heart transplant recipients with elevated resting heart rate by MDCT is feasible using multicycle reconstruction. The need for surveillance invasive coronary angiography in transplant recipients might be mitigated by use of MDCT.",Sigurdsson G; Carrascosa P; Yamani MH; Greenberg NL; Perrone S; Lev G; Desai MY; Garcia MJ,,2006,Journal of the American College of Cardiology,"Clinical Trial; Journal Article; Research Support, Non-U.S. Gov't",
2D,16331376,The transfibular approach for ankle arthrodesis.,"OBJECTIVE: Bony fusion between tibia and talus in neutral position of foot. Return to a pain-free function of the lower limb. INDICATIONS: Extensive loss of articular cartilage accompanied by a painful and considerably limited motion with or without malalignment. Partial avascular necrosis of talar dome or distal tibial epiphysis. Neuroarthropathy (Charcot joint) with progressive malalignment of ankle. Revision surgery after failed total ankle arthroplasty. CONTRAINDICATIONS: Acute purulent joint infection. Total avascular necrosis of talus. SURGICAL TECHNIQUE: Posterolateral approach to the distal fibula taking care to preserve the periosteal vessels. Fibular osteotomy from proximal lateral to distal medial. Division of the anterior tibiofibular, anterior fibulotibial, and fibulocalcaneal ligaments. Division of posterior tibiofibular ligament. Transverse planar resection of tibial and talar articular surfaces. Freshening of the medial malleolus. Resection of the tip of medial malleolus through a medial incision. Positioning of talus perpendicular to the tibia, paying attention to the valgus of the hindfoot and external rotation. Temporary fixation with Kirschner wires. Radiographic control in two planes followed by fixation with two or three lag screws. Removal of the medial fibular cortex, freshening of the lateral gutter, and fixation of the distal fibular fragments to tibia and talus with cortical screws. RESULTS: 20 arthrodeses in 19 patients were followed up for an average of 39 months (12-69 months). All arthrodeses were fused. In one patient a fibular pseudarthrosis was encountered. All arthrodeses healed in a correct position but one that consolidated with a pes equinus of 3 degrees . The average AOFAS (American Orthopedic Foot and Ankle Society) hindfoot score reached 78.5 points (40-86 points). A marked reduction of symptoms and satisfactory function were reported postoperatively by all patients. All would be willing to undergo surgery again.",Flückiger G; Weber M,,2005,Operative Orthopadie und Traumatologie,Clinical Trial; Journal Article,
2D,107808,Experimental and postexperimental response to anteriorly directed extraoral force in young Macaca nemestrina.,"An anteriorly directed extraoral force was applied to the maxillas of four healthy young M. nemestrina monkeys. Experimental, retention, and postretention alterations were evaluated through a combination of cephalometric, histologic, and gross techniques. In view of the results of the present study, the following conclusions can be made: 1. Skeletal remodeling occurs in all circummaxillary sutures following the application of an anteriorly directed extraoral force to the maxilla. The amount of remodeling appears to be proportional to a suture's distance from and orientation to the applied force system. 2. The maxillary complex exhibited a marked anterior positioning with a small amount of counterclockwise rotation during the experimental period. 3. The application of an extraoral force to the maxilia produces compensatory deposition and resorption of bone, not only at the sutural margins but also at the external surface of the bones themselves. 4. It is possible that the experimental appliance transmits its effect to the facial bones adjacent to the maxilla through an alteration in the skull's periosteal envelope. 5. A substantial reorientation of the maxillary complex occurs following the termination of active force, and the degree of relapse or reorientation is directly proportional to the length of stabilization. 6. The dentition, through the periodontal ligament, undergoes approximately four times as much relapse as do the facial bones through their sutural articulations, following a minimal period of stabilization. 7. Extraoral forces applied to the craniofacial complex are transmitted through the maxilla and related midfacial bones, resulting in changes in such deep cranial structures as the cartilaginous synchondroses of the sphenoid bone. 8. Anterior displacement of the maxilla by extraoral traction appears to have a minimal effect on the mandible and the temporomandibular joint. 9. The number of sinusoidal vessels in the sutural ligament tends to increase in those sutures subjected to a tensional force.",Jackson GW; Kokich VG; Shapiro PA,,1979,American journal of orthodontics,"Journal Article; Research Support, U.S. Gov't, P.H.S.",
2D,33710791,Team-Based Ultrasound Objective Structured Practice Examination (OSPE) in the Anatomy Course.,"The clinical use of ultrasound has dramatically increased, necessitating early ultrasound education and the development of new tools in ultrasound training and assessment. The goal of this study was to devise a novel low-resource examination that tested the anatomical knowledge and technical skill of early undergraduate medical students in a gross anatomy course. The team-based ultrasound objective structured practice examination (OSPE) was created as a method for assessing practical ultrasound competencies, anatomical knowledge, and non-technical skills such as teamwork and professionalism. The examination utilized a rotation of students through four team roles as they scanned different areas of the body. This station-based examination required four models and four instructors, and tested ultrasound skills in the heart, abdominal vessels, abdominal organs, and neck regions. A Likert scale survey assessed student attitudes toward the examination. Survey data from participants (n = 46) were examined along with OSPE examination grades (n = 52). Mean and standard deviations were calculated for examination items and survey responses. Student grades were high in both technical (96.5%). and professional (96.5%) competencies with structure identification scoring the lowest (93.8%). There were no statistical differences between performances in each of the body regions being scanned. The survey showed that students deemed the examination to be fair and effective. In addition, students agreed that the examination motivated them to practice ultrasound. The team-based OSPE was found to be an efficient and student-favored method for evaluating integrated ultrasound competencies, anatomical knowledge, team-work, and professional attributes.",Weiskittel TM; Lachman N; Bhagra A; Andersen K; St Jeor J; Pawlina W,OSPE; anatomy practical examination; gross anatomy education; medical education; team-based examination; ultrasound education; ultrasound skills assessment,2021,Anatomical sciences education,Journal Article,
